ID,氏名,性別,所属学部,古典,物理,化学,経済,英語,数学,情報
S0194,木村 陽子,女,文学部,86,54,53,57,77,55,61
S0195,山崎 聡太郎,男,文学部,88,62,49,64,82,52,49
S0196,山下 結衣,女,文学部,95,65,55,45,89,54,46
S0197,長谷川 七夏,女,文学部,87,63,57,64,86,51,58
S0198,伊藤 修平,男,文学部,87,62,50,61,75,52,46
S0199,伊藤 智也,男,文学部,85,61,54,58,85,53,59
S0200,田中 知実,女,文学部,87,61,60,59,83,56,46
S0201,小林 亮介,男,文学部,91,48,46,45,75,62,50
S0202,佐藤 知実,女,文学部,86,63,61,48,77,59,48
S0203,田中 翼,男,文学部,100,56,52,62,83,50,51
S0204,橋本 康弘,男,文学部,94,48,64,48,84,62,65
S0205,加藤 太一,男,文学部,89,50,49,56,76,54,50
S0206,小林 涼平,男,文学部,91,65,48,49,83,59,54
S0207,吉田 充,男,文学部,85,56,60,48,75,59,55
S0208,藤井 裕樹,男,文学部,85,60,58,49,82,56,48
S0209,渡辺 美加子,女,文学部,98,49,55,64,79,49,61
S0210,小林 加奈,女,文学部,90,52,62,57,84,53,51
S0211,岡本 治,男,文学部,97,60,52,49,89,63,54
S0212,田中 涼平,男,文学部,90,62,64,58,87,53,64
S0213,遠藤 裕樹,男,文学部,85,49,51,54,76,64,57
S0214,山下 太郎,男,文学部,100,53,64,55,90,51,63
S0215,鈴木 真綾,女,文学部,85,55,63,46,77,58,47
S0216,阿部 翔太,男,文学部,89,52,47,64,76,64,57
S0217,佐藤 篤司,男,文学部,86,65,58,48,76,64,62
S0218,山本 陽子,女,文学部,91,48,52,51,80,55,53
S0219,山田 桃子,女,文学部,87,48,61,64,88,53,58
S0220,森 里佳,女,文学部,95,65,53,52,76,61,50
S0221,佐藤 美加子,女,文学部,93,62,49,60,86,64,49
S0222,伊藤 京助,男,文学部,87,65,64,49,85,50,52
S0223,池田 太一,男,文学部,99,50,50,59,81,60,48
S0224,木村 七夏,女,文学部,99,46,61,48,78,59,49
S0225,井上 聡太郎,男,文学部,91,51,63,59,79,57,50
S0226,松田 くみ子,女,文学部,92,55,51,55,85,64,65
S0227,木村 学,男,文学部,99,47,62,45,77,62,63
S0228,清水 知実,女,文学部,91,46,49,49,88,65,60
S0229,佐藤 里佳,女,文学部,96,46,54,53,82,56,46
S0230,長谷川 真綾,女,文学部,97,62,53,64,86,60,65
S0231,橋本 修平,男,文学部,87,64,47,47,90,48,62
S0232,山崎 裕太,男,文学部,90,61,64,47,87,52,63
S0233,石井 修平,男,文学部,100,50,53,56,81,61,46
S0234,遠藤 陽子,女,文学部,91,51,46,56,89,60,62
S0235,渡辺 聡太郎,男,文学部,96,53,52,62,79,45,62
S0236,高橋 和也,男,文学部,95,60,54,53,76,52,52
S0237,山本 花子,女,文学部,98,52,64,57,81,51,61
S0238,渡辺 涼平,男,文学部,90,57,49,59,76,61,64
S0239,鈴木 亮介,男,文学部,94,54,53,57,81,52,50
S0240,石井 太一,男,文学部,100,51,60,57,82,57,51
S0241,鈴木 太郎,男,文学部,98,65,55,55,89,51,47
S0242,斉藤 あすか,女,文学部,98,62,49,57,89,64,65
S0243,鈴木 修平,男,文学部,100,53,46,61,76,51,61
S0244,田中 翼,男,文学部,96,46,63,56,76,55,51
S0245,田中 稔,男,文学部,87,57,51,52,75,50,61
S0246,佐藤 健一,男,文学部,93,47,61,50,81,55,55
S0247,山口 智也,男,文学部,94,54,54,62,76,53,46
S0248,高橋 幹,女,文学部,86,52,63,61,82,65,50
S0249,加藤 陽子,女,文学部,97,55,52,62,78,65,59
S0250,井上 稔,男,文学部,90,56,46,57,87,65,63
S0251,松本 千代,女,文学部,93,59,65,53,85,49,54
S0252,森 里佳,女,文学部,85,48,59,63,90,46,46
S0253,渡辺 さゆり,女,文学部,89,49,65,53,86,59,51
S0254,林 翼,男,文学部,90,59,60,60,90,63,49
S0255,遠藤 零,男,文学部,88,58,64,56,77,58,54
S0256,松本 陽子,女,文学部,96,55,54,54,82,54,56
S0257,山本 直人,男,文学部,89,59,54,62,77,47,47
S0258,清水 加奈,女,文学部,89,50,59,58,80,59,56
S0259,田中 さゆり,女,文学部,100,52,59,50,82,58,54
S0260,山下 直人,男,文学部,98,57,45,45,79,59,54
S0261,藤井 花子,女,文学部,97,65,49,47,76,51,46
S0262,鈴木 結衣,女,文学部,90,56,63,59,75,59,63
S0263,吉田 千代,女,文学部,86,64,59,64,80,46,58
S0264,清水 明美,女,文学部,99,59,63,61,75,45,54
S0265,山本 知実,女,文学部,87,45,55,46,83,48,58
S0266,加藤 涼平,男,文学部,88,62,55,48,88,63,64
S0267,小川 花子,女,文学部,87,63,49,46,78,65,50
S0268,山田 涼平,男,文学部,92,54,47,49,80,58,65
S0269,佐藤 稔,男,文学部,92,57,49,46,80,53,65
S0270,村上 聡太郎,男,文学部,97,53,54,65,84,47,59
S0271,山口 直子,女,文学部,95,60,62,59,75,51,60
S0272,加藤 太郎,男,文学部,90,49,64,60,76,49,56
S0273,阿部 健一,男,文学部,85,56,53,63,88,61,47
S0274,渡辺 春香,女,文学部,86,60,55,49,87,51,48
S0275,佐藤 さゆり,女,文学部,93,52,65,64,76,47,49
S0276,山下 春香,女,文学部,93,65,51,64,90,55,52
S0277,池田 陽一,男,文学部,95,50,47,56,80,61,56
S0278,長谷川 浩,男,文学部,91,58,55,57,81,53,58
S0279,井上 結衣,女,文学部,100,49,48,55,89,53,55
S0280,中島 翔太,男,文学部,99,58,57,60,81,58,45
S0281,斉藤 英樹,男,文学部,91,54,59,65,79,47,57
S0282,佐藤 さゆり,女,文学部,89,46,54,51,78,47,46
S0283,福田 里佳,女,文学部,87,49,64,49,76,58,47
S0284,岡本 あすか,女,文学部,96,50,52,50,82,65,56
S0285,清水 修平,男,文学部,99,65,58,51,84,55,60
S0286,佐藤 香織,女,文学部,85,61,57,47,76,58,52
S0287,松本 淳,男,文学部,89,65,46,59,75,65,62
S0288,佐々木 加奈,女,文学部,90,55,61,51,89,56,52
S0289,井上 涼平,男,文学部,93,60,57,56,86,46,54
S0290,遠藤 里佳,女,文学部,93,61,58,63,76,63,47
S0291,田中 結衣,女,文学部,90,53,53,57,79,47,52
S0292,佐藤 英樹,男,文学部,92,56,60,47,78,59,47
S0293,鈴木 舞,女,文学部,90,47,63,57,88,56,63
S0294,石川 和也,男,文学部,95,49,58,48,85,58,46
S0295,渡辺 香織,女,文学部,92,51,64,59,89,62,58
S0296,吉田 直人,男,文学部,98,60,51,65,86,51,56
S0297,加藤 聡太郎,男,文学部,97,62,63,50,80,58,65
S0298,小林 裕太,男,文学部,90,56,54,60,86,61,53
S0299,渡辺 直子,女,文学部,86,51,58,59,82,46,62
S0300,高橋 あすか,女,文学部,100,48,53,45,81,47,63
S0301,松本 明美,女,文学部,86,62,64,49,86,56,45
S0302,山崎 修平,男,文学部,98,52,57,52,88,60,52
S0303,山下 学,男,文学部,86,51,61,60,75,59,53
S0304,小川 さゆり,女,文学部,91,55,63,61,80,61,45
S0305,福田 知実,女,文学部,89,46,60,48,82,52,62
S0306,長谷川 直子,女,文学部,92,62,56,60,84,49,62
S0307,山下 充,男,文学部,94,51,58,64,87,59,50
S0308,田中 桃子,女,文学部,88,65,59,52,90,55,53
S0309,太田 直人,男,文学部,98,57,54,61,81,50,61
S0310,加藤 太郎,男,文学部,91,47,57,62,76,61,59
S0311,佐藤 桃子,女,文学部,86,53,59,63,76,55,48
S0312,加藤 裕太,男,文学部,91,52,52,46,82,52,64
S0313,田中 学,男,文学部,89,50,47,52,77,59,53
S0314,西村 翼,男,文学部,90,53,57,61,85,49,52
S0315,藤原 くみ子,女,文学部,87,55,61,56,78,49,46
S0316,藤原 舞,女,文学部,94,48,58,63,83,60,63
S0317,中村 香織,女,文学部,93,60,60,49,79,63,49
S0318,藤原 香織,女,文学部,89,56,59,46,82,48,50
S0319,渡辺 美加子,女,文学部,93,55,48,46,79,63,46
S0320,前田 直子,女,文学部,86,45,49,61,78,51,50
S0321,青木 さゆり,女,文学部,92,61,55,50,83,49,55
S0322,伊藤 陽子,女,文学部,95,58,49,65,84,45,62
S0323,山田 京助,男,文学部,90,57,62,46,86,49,48
S0324,伊藤 くみ子,女,文学部,88,65,45,47,77,60,59
S0325,池田 花子,女,文学部,87,48,49,45,76,62,58
S0326,前田 亮介,男,文学部,92,51,54,48,84,61,61
S0327,佐藤 美加子,女,文学部,92,55,48,47,75,49,45
S0328,長谷川 明美,女,文学部,93,54,48,64,79,49,62
S0329,木村 直人,男,文学部,93,53,51,52,85,58,65
S0330,藤井 陽子,女,文学部,100,54,61,46,82,56,51
S0331,遠藤 直子,女,文学部,90,47,56,62,84,62,53
S0332,高橋 さゆり,女,文学部,99,56,61,57,88,47,61
S0333,鈴木 香織,女,文学部,98,60,62,65,77,55,61
S0334,中島 浩,男,文学部,87,58,65,52,89,59,64
S0335,小林 零,男,文学部,96,55,61,63,82,52,49
S0336,村上 太郎,男,文学部,87,48,61,63,88,60,58
S0337,長谷川 香織,女,文学部,86,52,57,61,86,53,64
S0338,渡辺 零,男,文学部,85,49,56,58,89,46,56
S0339,小林 裕樹,男,文学部,88,48,56,49,85,59,63
S0340,渡辺 篤司,男,文学部,92,47,62,57,84,65,56
S0341,村上 治,男,文学部,97,63,52,58,90,46,61
S0342,藤原 裕太,男,文学部,100,62,63,62,77,53,47
S0343,小林 舞,女,文学部,96,50,50,56,75,49,47
S0344,渡辺 浩,男,文学部,93,61,53,45,81,53,51
S0345,小林 香織,女,文学部,88,49,51,47,84,45,56
S0346,佐藤 春香,女,文学部,97,46,52,55,80,50,46
S0347,遠藤 七夏,女,文学部,93,51,48,59,84,55,46
S0348,中村 直子,女,文学部,89,49,56,55,87,60,58
S0349,山崎 零,男,文学部,96,53,46,59,90,63,64
S0350,伊藤 篤司,男,文学部,87,48,63,54,82,57,50
S0351,清水 加奈,女,文学部,86,65,45,53,76,62,56
S0352,福田 裕美子,女,文学部,92,45,62,53,85,65,63
S0353,高橋 さゆり,女,文学部,89,50,63,59,76,59,52
S0354,山本 陽一,男,文学部,94,63,56,59,88,46,56
S0355,松本 和也,男,文学部,90,50,54,55,77,57,56
S0356,高橋 花子,女,文学部,100,49,65,48,84,55,64
S0357,小林 あすか,女,文学部,97,45,56,52,82,49,57
S0358,松本 くみ子,女,文学部,98,45,63,49,79,65,46
S0359,石井 亮介,男,文学部,97,54,56,48,83,62,59
S0360,鈴木 京助,男,文学部,100,50,58,49,88,48,62
S0361,森 修平,男,文学部,90,47,63,55,83,62,56
S0362,清水 亮介,男,文学部,99,63,58,56,84,50,58
S0363,中村 裕美子,女,文学部,97,47,62,55,76,59,51
S0364,田中 篤司,男,文学部,87,52,47,53,90,51,63
S0365,吉田 明美,女,文学部,93,54,57,60,78,52,65
S0366,佐藤 あすか,女,文学部,87,56,64,60,88,54,53
S0367,松本 浩,男,文学部,88,53,47,49,88,65,62
S0368,松本 学,男,文学部,88,62,46,53,77,50,51
S0369,松田 千代,女,文学部,98,53,64,58,76,63,61
S0370,加藤 智也,男,文学部,89,60,45,59,80,59,49
S0371,中村 篤司,男,文学部,96,47,64,60,87,56,59
S0372,松本 幹,女,文学部,92,47,55,59,76,64,63
S0373,加藤 零,男,文学部,93,47,58,58,88,50,48
S0374,田中 真綾,女,文学部,99,54,63,64,80,52,53
S0375,小林 直人,男,文学部,94,64,47,56,77,58,57
S0376,渡辺 桃子,女,文学部,100,48,57,61,85,50,59
S0377,三浦 あすか,女,文学部,95,61,57,61,90,55,60
S0378,中村 里佳,女,文学部,88,48,63,51,83,60,54
S0379,斎藤 里佳,女,文学部,97,60,46,45,87,51,49
S0380,山下 康弘,男,文学部,88,60,62,61,81,59,50
S0381,森 里佳,女,文学部,95,61,60,57,83,63,53
S0382,渡辺 結衣,女,文学部,90,60,57,60,78,60,57
S0383,鈴木 真綾,女,文学部,88,61,60,48,75,49,55
S0384,佐藤 花子,女,文学部,90,62,52,64,86,51,56
S0385,長谷川 治,男,文学部,92,50,53,65,88,47,47
S0386,村上 あすか,女,文学部,90,54,57,58,79,46,58
S0387,田中 亮介,男,文学部,89,47,63,59,90,55,55
S0388,長谷川 翔太,男,文学部,89,64,62,55,83,60,61
S0389,佐々木 翼,男,文学部,97,52,50,45,89,59,47
S0390,前田 知実,女,文学部,86,63,53,53,81,50,48
S0391,三浦 裕太,男,文学部,96,56,45,51,76,53,64
S0392,木村 亮介,男,文学部,93,47,56,49,84,50,46
S0393,斎藤 翼,男,文学部,90,57,53,54,78,51,49
S0394,高橋 花子,女,文学部,89,60,65,47,88,62,50
S0395,佐藤 さゆり,女,文学部,96,50,56,51,77,50,62
S0396,伊藤 治,男,文学部,93,49,49,56,79,50,51
S0397,石井 幹,女,文学部,86,53,57,45,86,49,61
S0398,阿部 くみ子,女,文学部,94,45,63,48,82,54,62
S0399,山田 あすか,女,文学部,92,58,61,61,76,52,54
S0400,岡田 京助,男,文学部,91,54,47,47,79,56,54
S0401,山本 修平,男,文学部,98,45,62,54,78,49,57
S0402,藤田 浩,男,文学部,96,65,51,61,76,61,53
S0403,木村 裕美子,女,文学部,98,63,50,60,83,59,63
S0404,阿部 千代,女,文学部,95,49,65,46,78,61,59
S0405,小林 康弘,男,文学部,85,46,57,49,75,64,52
S0406,藤田 真綾,女,文学部,86,57,49,45,83,63,55
S0407,山口 修平,男,文学部,99,50,50,57,83,65,48
S0408,高橋 くみ子,女,文学部,86,47,55,63,81,50,48
S0409,石井 裕美子,女,文学部,86,47,62,48,83,58,58
S0410,鈴木 充,男,文学部,90,48,53,47,84,50,54
S0411,林 知実,女,文学部,93,48,52,54,89,49,59
S0412,林 稔,男,文学部,92,46,50,65,82,48,48
S0413,井上 智也,男,文学部,86,59,51,63,84,52,57
S0414,渡辺 くみ子,女,文学部,91,45,50,50,89,65,52
S0415,佐藤 英樹,男,文学部,87,55,50,50,88,59,57
S0416,井上 香織,女,文学部,94,46,49,61,88,58,51
S0417,佐藤 陽子,女,文学部,90,50,60,46,87,63,48
S0418,阿部 舞,女,文学部,88,45,52,51,81,52,47
S0419,西村 学,男,文学部,86,50,47,63,86,62,54
S0420,松本 修平,男,文学部,92,47,52,52,80,65,60
S0421,松田 陽子,女,文学部,99,65,54,58,88,50,58
S0422,松本 零,男,文学部,99,64,49,64,89,49,46
S0423,中島 翔太,男,文学部,99,56,61,55,78,55,63
S0424,佐藤 直樹,男,文学部,90,63,47,65,88,61,48
S0425,佐藤 和也,男,文学部,95,64,62,59,78,49,56
S0426,鈴木 智也,男,文学部,88,47,62,52,85,65,48
S0427,井上 千代,女,文学部,100,65,53,65,80,46,45
S0428,山本 千代,女,文学部,90,65,60,64,89,57,46
S0429,高橋 零,男,文学部,85,45,47,59,77,57,56
S0430,高橋 裕樹,男,文学部,97,62,60,51,80,60,46
S0431,小川 智也,男,文学部,97,50,56,50,83,49,57
S0432,近藤 涼平,男,文学部,97,59,58,51,76,61,54
S0433,高橋 翔太,男,文学部,91,62,63,61,84,60,55
S0434,高橋 稔,男,文学部,98,47,51,46,86,49,45
S0435,斉藤 幹,女,文学部,89,52,62,53,82,59,50
S0436,吉田 桃子,女,文学部,95,46,51,56,84,52,62
S0437,青木 さゆり,女,文学部,97,59,51,46,77,46,61
S0438,池田 舞,女,文学部,85,49,52,55,87,46,63
S0439,松田 裕樹,男,文学部,98,63,64,58,75,47,54
S0440,近藤 洋介,男,文学部,94,51,63,52,75,57,63
S0441,青木 春香,女,文学部,98,60,46,65,80,51,61
S0442,斎藤 裕太,男,文学部,87,54,59,48,79,51,60
